support,itemsets
0.005665116776227887,frozenset({'100779'})
0.01038604742308446,frozenset({'100870'})
0.023212726916430622,frozenset({'100940'})
0.012612901501790392,frozenset({'100944'})
0.006751821566636382,frozenset({'100949'})
0.017868277127536386,frozenset({'101278'})
0.005665116776227887,frozenset({'101279'})
0.012381308677604974,frozenset({'101328'})
0.0071615627171182725,frozenset({'101331'})
0.005023782801560579,frozenset({'101351'})
0.01248819767338286,frozenset({'101604'})
0.01728038765075802,frozenset({'101610'})
0.005148486629968111,frozenset({'101612'})
0.006662747403488144,frozenset({'101619'})
0.005807635437265067,frozenset({'101627'})
0.008533304829601126,frozenset({'101634'})
0.005166301462597759,frozenset({'101635'})
0.005593857445709297,frozenset({'101640'})
0.008087934013859939,frozenset({'101651'})
0.014750681417348085,frozenset({'101655'})
0.01631838668875706,frozenset({'101683'})
0.009388416795824204,frozenset({'101687'})
0.0055047832825610606,frozenset({'101741'})
0.006288635918265548,frozenset({'101762'})
0.03151443892184633,frozenset({'1023718'})
0.006894340227673561,frozenset({'102660'})
0.005005967968930932,frozenset({'102676'})
0.005095042132079169,frozenset({'103044'})
0.005291005291005291,frozenset({'103119'})
0.00641333974667308,frozenset({'1091181'})
0.00655585840771026,frozenset({'1091190'})
0.0060392282614504834,frozenset({'1091209'})
0.0050594124668198745,frozenset({'1091213'})
0.007286266545525805,frozenset({'1150551'})
0.005593857445709297,frozenset({'124568'})
0.009530935456861383,frozenset({'1338661'})
0.006359895248784137,frozenset({'1342599'})
0.008479860331712184,frozenset({'1360309'})
0.015231681898348564,frozenset({'1360338'})
0.006074857926709779,frozenset({'1383891'})
0.0061639320898580156,frozenset({'147507'})
0.0053800794541535284,frozenset({'194412'})
0.03156788341973527,frozenset({'2267712'})
0.005166301462597759,frozenset({'2390135'})
0.006965599558192151,frozenset({'2617231'})
0.015249496730978213,frozenset({'2617245'})
0.005255375625745996,frozenset({'2617251'})
0.007838526357044875,frozenset({'2650538'})
0.00990504694208398,frozenset({'277345'})
0.01428749576897725,frozenset({'277417'})
0.008907416314823722,frozenset({'277874'})
0.005219745960486701,frozenset({'2855965'})
0.0054869684499314125,frozenset({'321306'})
0.006538043575080612,frozenset({'3740398'})
0.013378939304865231,frozenset({'377760'})
0.047619047619047616,frozenset({'3781030'})
0.008052304348600645,frozenset({'3792647'})
0.008141378511748882,frozenset({'385965'})
0.008177008177008177,frozenset({'386808'})
0.008729267988527249,frozenset({'392729'})
0.007696007696007696,frozenset({'3946893'})
0.007001229223451446,frozenset({'3974208'})
0.005932339265672599,frozenset({'3974210'})
0.008070119181230292,frozenset({'4004061'})
0.008248267507526767,frozenset({'4315099'})
0.011722159870308018,frozenset({'4388358'})
0.008123563679119235,frozenset({'441601'})
0.01783264746227709,frozenset({'442202'})
0.005237560793116348,frozenset({'4475074'})
0.006253006253006253,frozenset({'4718684'})
0.008087934013859939,frozenset({'4718686'})
0.005469153617301765,frozenset({'4939874'})
0.005130671797338464,frozenset({'5039878'})
0.01931127857053783,frozenset({'5107273'})
0.013147346480679814,frozenset({'5107274'})
0.015926460370904814,frozenset({'5107276'})
0.005095042132079169,frozenset({'5107293'})
0.014305310601606898,frozenset({'5107299'})
0.014251866103717956,frozenset({'5107301'})
0.005593857445709297,frozenset({'5111091'})
0.005415709119412823,frozenset({'5114373'})
0.00655585840771026,frozenset({'5124660'})
0.005451338784672118,frozenset({'5150354'})
0.007197192382377568,frozenset({'5150409'})
0.005255375625745996,frozenset({'5155088'})
0.0069477847255625036,frozenset({'5176017'})
0.006306450750895196,frozenset({'5176018'})
0.018580870432722284,frozenset({'5229522'})
0.005219745960486701,frozenset({'5282782'})
0.010279158427306576,frozenset({'5282783'})
0.013129531648050167,frozenset({'5295704'})
0.009780343113676447,frozenset({'5313705'})
0.006199561755117311,frozenset({'5381493'})
0.0050594124668198745,frozenset({'5443616'})
0.0068230808971549714,frozenset({'5449215'})
0.006609302905599202,frozenset({'5469564'})
0.005914524433042951,frozenset({'5475682'})
0.007125933051858978,frozenset({'5490029'})
0.0064845990771916695,frozenset({'5525125'})
0.00564730194359824,frozenset({'5548597'})
0.008515489996971479,frozenset({'5679384'})
0.00564730194359824,frozenset({'5785105'})
0.007874156022304171,frozenset({'5840989'})
0.006965599558192151,frozenset({'5982766'})
0.005201931127857054,frozenset({'5991623'})
0.007001229223451446,frozenset({'6072685'})
0.0071615627171182725,frozenset({'6074502'})
0.006217376587746958,frozenset({'6075820'})
0.005772005772005772,frozenset({'6104208'})
0.005878894767783657,frozenset({'6269531'})
0.007785081859155933,frozenset({'635865'})
0.005451338784672118,frozenset({'6412077'})
0.007731637361266991,frozenset({'6439955'})
0.007001229223451446,frozenset({'6440630'})
0.01799298095594392,frozenset({'6441562'})
0.00954875028949103,frozenset({'6559033'})
0.009922861774713626,frozenset({'6583'})
0.005130671797338464,frozenset({'662486'})
0.007571303867600164,frozenset({'6656338'})
0.005611672278338945,frozenset({'6779687'})
0.005878894767783657,frozenset({'6785432'})
0.009192453636898081,frozenset({'6785463'})
0.005112856964708816,frozenset({'6785534'})
0.010688899577788466,frozenset({'6786863'})
0.00710811821922933,frozenset({'6810217'})
0.006538043575080612,frozenset({'6810225'})
0.005255375625745996,frozenset({'6810227'})
0.00878271248641619,frozenset({'6822056'})
0.006288635918265548,frozenset({'710000'})
0.007339711043414747,frozenset({'71955'})
0.005754190939376125,frozenset({'71987'})
0.007357525876044394,frozenset({'72016'})
0.007535674202340869,frozenset({'72020'})
0.006805266064525323,frozenset({'72144'})
0.014002458446902892,frozenset({'72569'})
0.016122423529830936,frozenset({'72602'})
0.017529795307573086,frozenset({'74266'})
0.006680562236117791,frozenset({'750010'})
0.005807635437265067,frozenset({'750108'})
0.005344449788894233,frozenset({'75262'})
0.005593857445709297,frozenset({'75307'})
0.025564284823544083,frozenset({'7592'})
0.00717937754974792,frozenset({'760635'})
0.007785081859155933,frozenset({'761182'})
0.005469153617301765,frozenset({'761183'})
0.015944275203534464,frozenset({'761330'})
0.007767267026526286,frozenset({'761331'})
0.007410970373933337,frozenset({'761332'})
0.005451338784672118,frozenset({'761636'})
0.01478631108260738,frozenset({'761845'})
0.007589118700229811,frozenset({'761846'})
0.0076069335328594586,frozenset({'761850'})
0.007535674202340869,frozenset({'76447'})
0.007571303867600164,frozenset({'76461'})
0.006431154579302728,frozenset({'76826'})
0.005005967968930932,frozenset({'77140'})
0.005843265102524362,frozenset({'77159'})
0.0053800794541535284,frozenset({'772835'})
0.006466784244562022,frozenset({'8118'})
0.005255375625745996,frozenset({'84147'})
0.0864375679190494,frozenset({'8436'})
0.008194823009637824,frozenset({'8447'})
0.008444230666452888,frozenset({'8448'})
0.034827997790960755,frozenset({'84666'})
0.017102239324461546,frozenset({'84707'})
0.013289865141716994,frozenset({'8471'})
0.012880123991235103,frozenset({'8473'})
0.009922861774713626,frozenset({'847496'})
0.005166301462597759,frozenset({'8475'})
0.023978764719505462,frozenset({'84759'})
0.014038088112162186,frozenset({'84766'})
0.007874156022304171,frozenset({'84767'})
0.054780610336165894,frozenset({'84775'})
0.009726898615787506,frozenset({'8478'})
0.01352145796590241,frozenset({'84812'})
0.005415709119412823,frozenset({'84813'})
0.024299431706839115,frozenset({'84814'})
0.008337341670675003,frozenset({'84815'})
0.005451338784672118,frozenset({'84818'})
0.012042826857641672,frozenset({'84843'})
0.009067749808490549,frozenset({'84844'})
0.012773234995457218,frozenset({'8485'})
0.039851780592521334,frozenset({'8487'})
0.010956122067233178,frozenset({'84882'})
0.025884951810877736,frozenset({'8490'})
0.008355156503304652,frozenset({'8491'})
0.023266171414319563,frozenset({'8492'})
0.015160422567829976,frozenset({'8493'})
0.017173498654980135,frozenset({'8494'})
0.013485828300643115,frozenset({'8495'})
0.017957351290684626,frozenset({'8497'})
0.005807635437265067,frozenset({'85029'})
0.006395524914043433,frozenset({'8503'})
0.0065024139098213175,frozenset({'85041'})
0.01248819767338286,frozenset({'8505'})
0.014519088593162668,frozenset({'8507'})
0.03424010831418239,frozenset({'8512'})
0.00717937754974792,frozenset({'8518'})
0.02417472787843158,frozenset({'85355'})
0.005023782801560579,frozenset({'85359'})
0.005540412947820355,frozenset({'85675'})
0.007019044056081093,frozenset({'85676'})
0.005700746441487182,frozenset({'8581'})
0.01769012880123991,frozenset({'8588'})
0.005344449788894233,frozenset({'85880'})
0.015587978550941513,frozenset({'85894'})
0.005665116776227887,frozenset({'86012'})
0.008355156503304652,frozenset({'86214'})
0.007660378030748401,frozenset({'86299'})
0.0065024139098213175,frozenset({'8642'})
0.005754190939376125,frozenset({'87437'})
0.005308820123634939,frozenset({'87650'})
0.006288635918265548,frozenset({'87702'})
0.009441861293713145,frozenset({'87931'})
0.04850978925052999,frozenset({'88715'})
0.006359895248784137,frozenset({'88716'})
0.039602372935706266,frozenset({'88731'})
0.006662747403488144,frozenset({'89078'})
0.0065024139098213175,frozenset({'8960'})
0.007767267026526286,frozenset({'8979'})
0.0057185612741168295,frozenset({'89820'})
0.013842124953236064,frozenset({'9004'})
0.005415709119412823,frozenset({'90475'})
0.011775604368196961,frozenset({'9057'})
0.012203160351308499,frozenset({'9058'})
0.008764897653786543,frozenset({'9059'})
0.008943045980083017,frozenset({'9082'})
0.015374200559385745,frozenset({'9087'})
0.007001229223451446,frozenset({'9178'})
0.005522598115190708,frozenset({'9193'})
0.016692498173979657,frozenset({'9210'})
0.005326634956264586,frozenset({'92648'})
0.012185345518678852,frozenset({'92649'})
0.013396754137494879,frozenset({'9276'})
0.00564730194359824,frozenset({'92859'})
0.005077227299449522,frozenset({'93067'})
0.013289865141716994,frozenset({'93160'})
0.020095131206242317,frozenset({'93161'})
0.005593857445709297,frozenset({'94724'})
0.005291005291005291,frozenset({'95369'})
0.010190084264158338,frozenset({'959525'})
0.006324265583524843,frozenset({'959528'})
0.022126022126022125,frozenset({'96157'})
0.008462045499082535,frozenset({'965270'})
0.0060570430940801315,frozenset({'96731'})
0.0062708210856359005,frozenset({'96812'})
0.005308820123634939,frozenset({'96911'})
0.00717937754974792,frozenset({'96918'})
0.006359895248784137,frozenset({'97163'})
0.0058254502698947145,frozenset({'97205'})
0.00885397181693478,frozenset({'975007'})
0.019685390055760425,frozenset({'97584'})
0.012399123510234622,frozenset({'97650'})
0.010991751732492474,frozenset({'97738'})
0.005985783763561541,frozenset({'98187'})
0.006840895729784619,frozenset({'986031'})
0.00815919334437853,frozenset({'986053'})
0.007820711524415228,frozenset({'98933'})
0.007464414871822279,frozenset({'992009'})
0.006965599558192151,frozenset({'99547'})
0.008177008177008177,frozenset({'99552'})
0.009655639285268915,frozenset({'99589'})
0.0050594124668198745,frozenset({'99598'})
0.005665116776227887,"frozenset({'84775', '1023718'})"
0.0062708210856359005,"frozenset({'84775', '3781030'})"
0.005415709119412823,"frozenset({'88715', '3781030'})"
0.0075000445370815745,"frozenset({'84775', '8436'})"
0.005914524433042951,"frozenset({'8436', '8487'})"
0.006377710081413785,"frozenset({'8436', '88715'})"
0.005558227780450003,"frozenset({'8436', '88731'})"
0.0071615627171182725,"frozenset({'84775', '88715'})"
0.006431154579302728,"frozenset({'84775', '88731'})"
0.006431154579302728,"frozenset({'8487', '8512'})"
